product_type,isautoleadcreated,lender,#Child_Leads_Created,#Disbursed,Disbursal %
Fresh,Flow1(Auto),FULLERTON,10584,2253,21.3
Fresh,Flow2(Manual),FULLERTON,7214,2338,32.4
Renewal,Flow1(Auto),FULLERTON,4018,862,21.5
Fresh,Flow1(Auto),PIRAMAL,2661,414,15.6
Fresh,Flow1(Auto),SHRIRAM,2586,583,22.5
Fresh,Flow1(Auto),KSF,2530,342,13.5
MicroML,Flow1(Auto),UCL,1875,347,18.5
Fresh,Flow2(Manual),KSF,1740,365,21.0
Renewal,Flow2(Manual),FULLERTON,1687,536,31.8
Fresh,Flow2(Manual),PIRAMAL,1643,408,24.8
Renewal,Flow1(Auto),KSF,1504,250,16.6
MicroML,Flow2(Manual),UCL,1496,239,16.0
Fresh,Flow2(Manual),SHRIRAM,1341,342,25.5
Fresh,Flow1(Auto),NACL,1240,286,23.1
Fresh,Flow1(Auto),PYFL,1143,176,15.4
Renewal,Flow1(Auto),PYFL,1100,340,30.9
Renewal,Flow1(Auto),NACL,1063,304,28.6
Fresh,Flow1(Auto),MFL,746,203,27.2
Fresh,Flow2(Manual),PYFL,743,167,22.5
Renewal,Flow1(Auto),SHRIRAM,741,176,23.8
Fresh,Flow2(Manual),NACL,724,213,29.4
Renewal,Flow1(Auto),PIRAMAL,720,142,19.7
Renewal,Flow2(Manual),KSF,642,119,18.5
Renewal,Flow1(Auto),MFL,573,173,30.2
Renewal,Flow2(Manual),PYFL,501,171,34.1
Renewal,Flow2(Manual),NACL,429,139,32.4
Fresh,Flow2(Manual),MFL,343,92,26.8
Renewal,Flow2(Manual),SHRIRAM,292,93,31.8
Renewal,Flow2(Manual),PIRAMAL,279,65,23.3
Renewal,Flow2(Manual),MFL,158,60,38.0
